User,Person,Current Age,Age Range,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Income Range,Total Debt,FICO Score,EAD,PD12,PDLT,LGD
19,Javion Stewart,69,70,73,1950,11,Male,385 Maple Street,,San Mateo,CA,94404,37.55,-122.26,47524,96901,80K - 100K,182809,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
20,Alessandro Bell,39,40,69,1980,5,Male,164 Ocean View Street,,Northwood,IA,50459,43.44,-93.21,16087,32801,20K - 50K,44496,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
21,Elian Fernandez,32,40,67,1987,8,Male,3525 Second Lane,,Lynwood,CA,90262,33.92,-118.2,13632,27795,20K - 50K,72318,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
22,Owen Roman,21,30,62,1998,10,Male,5 Lafayette Avenue,,Hudson,OH,44236,41.24,-81.45,42201,86042,80K - 100K,165447,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
23,Brantley Russell,70,70,65,1949,3,Male,6339 Lafayette Avenue,,Carpinteria,CA,93014,34.39,-119.51,21191,36724,20K - 50K,16437,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
24,Brooke Perez,52,60,66,1967,9,Female,7508 Grant Street,,Seminole,FL,33777,27.9,-82.78,23878,48686,20K - 50K,113137,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
25,Saanvi Lee,81,90,67,1938,11,Female,766 Third Drive,,West Covina,CA,91792,34.02,-117.89,22681,33483,20K - 50K,196,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
26,Yadiel Miller,76,80,66,1943,6,Male,9186 Washington Avenue,,Cleveland,OH,44134,41.47,-81.67,19524,41109,20K - 50K,21486,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
27,Haley Braun,28,30,65,1992,1,Female,5863 Grant Avenue,,Wellsville,KS,66092,38.71,-95.08,22158,45180,20K - 50K,13168,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
28,Rodrigo Braun,44,50,62,1975,5,Male,6308 Maple Avenue,,West Sacramento,CA,95691,38.66,-121.62,25234,51454,50K - 80K,151162,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
29,Poppy Johnson,58,60,66,1961,6,Female,2200 Third Drive,,Oak Harbor,WA,98278,48.28,-122.62,16537,33717,20K - 50K,58236,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
30,Cristiano Walker,58,60,72,1961,8,Male,967 Norfolk Avenue,,Melbourne,FL,32901,28.08,-80.6,15840,32295,20K - 50K,72357,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
31,Jalen Neufelder,53,60,67,1966,6,Male,817 Forest Street,,Jacksonville,AR,72076,34.86,-92.12,16462,33566,20K - 50K,96597,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
32,Chandler Wright,41,50,63,1978,8,Male,992 Martin Luther King Avenue,,Park Forest,IL,60466,41.48,-87.68,19359,39472,20K - 50K,82626,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
33,Samara Cruz,29,30,56,1990,9,Female,8958 Catherine Street,6,Stockton,UT,84071,40.3,-112.3,24445,49842,20K - 50K,79750,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
34,Kaylani Sullivan,57,60,64,1962,12,Female,442 Burns Boulevard,,Mansfield,MA,2048,42.02,-71.21,37407,76274,50K - 80K,102611,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
35,Lillie Mitchell,51,60,71,1968,7,Female,32299 Federal Street,,Janesville,WI,53546,42.68,-89.01,21278,43386,20K - 50K,2192,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
36,Kai King,58,60,66,1961,7,Female,427 Essex Lane,,Matthews,NC,28105,35.12,-80.71,27254,55569,50K - 80K,76181,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
37,Michael Anwar,64,70,67,1955,10,Male,8999 Washington Drive,,Oceanside,NY,11572,40.63,-73.63,32805,66885,50K - 80K,144703,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
38,Bobby Morgan,52,60,67,1967,5,Male,262 First Lane,,Merrill,WI,54452,45.18,-89.7,19705,40177,20K - 50K,47012,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
39,Drew Green,29,30,70,1990,12,Male,7109 Rose Street,,Thomasville,NC,27360,35.88,-80.07,16642,33933,20K - 50K,5329,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
40,Matias Stewart,29,30,71,1990,5,Male,4673 Washington Avenue,,Selma,AL,36703,32.41,-87.03,12474,25434,20K - 50K,0,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
41,Kelsey Burns,71,80,69,1949,1,Female,836 Summit Boulevard,1677,Candor,NY,13743,42.23,-76.34,18323,40516,20K - 50K,6908,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
42,Galilea Clark,69,70,67,1950,12,Female,829 Mill Boulevard,,Manassas,VA,20109,38.74,-77.48,24016,50753,50K - 80K,20226,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
43,Amber Masvidal,31,40,65,1988,10,Female,5295 Pine Street,,Marietta,GA,30067,33.95,-84.54,30747,62692,50K - 80K,50290,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
44,Ethan Smith,42,50,68,1978,2,Male,9141 Ocean View Lane,,Riverside,IA,52327,41.48,-91.57,22308,45475,20K - 50K,68358,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
45,Jaycee Reyes,54,60,62,1965,3,Female,1635 Sussex Lane,,Upper Marlboro,MD,20774,38.81,-76.75,33295,67890,50K - 80K,112564,698,8998.056703755938,0.1038382378640776,0.1508389919093851,0.6049453051948052
46,Everlee Clark,63,70,63,1957,1,Female,3 Madison Street,,New York,NY,10069,40.71,-73.99,163145,249925,200K+,202328,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
47,Amaya Stewart,40,40,66,1979,4,Female,6914 Wessex Avenue,7043,Houston,TX,77061,29.76,-95.38,15389,31377,20K - 50K,59615,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
48,Easton Cruz,26,30,71,1993,3,Male,4872 Lexington Avenue,,Doylestown,PA,18902,40.36,-75.09,49534,100991,100K - 150K,0,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
49,Emmanuel Wood,48,50,68,1971,7,Male,1772 Essex Boulevard,,Vinton,VA,24179,37.27,-79.88,19188,39124,20K - 50K,66231,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
50,Layla Myers,28,30,64,1992,1,Female,146 Lafayette Drive,,Ridgefield,WA,98642,45.79,-122.69,27308,55684,50K - 80K,114269,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
51,Guadalupe Chen,51,60,66,1968,7,Female,2554 11th Lane,67,Defiance,OH,43512,41.28,-84.36,18229,37169,20K - 50K,93844,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
52,Kaylani Thompson,40,40,65,1979,12,Female,613 George Boulevard,,Stanford,KY,40484,37.53,-84.66,15202,30997,20K - 50K,81716,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
53,Paula Gutierrez,68,70,65,1951,3,Female,7276 Valley Drive,,Sioux Falls,SD,57107,43.54,-96.73,20153,39082,20K - 50K,16870,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
54,Kyree Phillips,71,80,67,1948,3,Male,3095 Hill Boulevard,6,Casper,WY,82604,42.83,-106.32,25502,51703,50K - 80K,5371,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
55,Aspen Martinez,33,40,67,1986,11,Female,3550 Sixth Boulevard,,Novato,CA,94947,38.1,-122.63,30335,61846,50K - 80K,12525,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
56,Kai Merkel,19,20,68,2000,5,Male,5966 Hill Boulevard,,Bensalem,PA,19020,40.1,-74.93,24817,50602,50K - 80K,66762,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
57,Damon Martin,18,20,68,2001,12,Male,6294 Essex Drive,,Saint George,UT,84770,37.18,-113.6,14470,29497,20K - 50K,66044,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
58,Emmanuel Richardson,37,40,68,1983,2,Male,95873 Madison Boulevard,,Cosby,TN,37722,35.81,-83.25,11755,23967,20K - 50K,3880,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
59,Aden Ward,31,40,63,1988,6,Male,8486 Catherine Street,,Blacksburg,VA,24060,37.23,-80.42,24640,50242,50K - 80K,84457,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
60,Joanna Harris,21,30,69,1998,9,Female,89 Oak Lane,,Buffalo,NY,14215,42.88,-78.85,14456,29475,20K - 50K,48741,722,8580.720752,0.109644045,0.1564552599999999,0.6063162403361344
61,Kyle Peterson,43,50,70,1976,9,Male,9620 Valley Stream Drive,,San Francisco,CA,94117,37.76,-122.44,53797,109687,100K - 150K,183855,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
62,Butch Brooks,26,30,69,1994,2,Male,5101 Birch Lane,,Maryland Heights,MO,63043,38.72,-90.47,25163,51306,50K - 80K,68198,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
63,Augustine Schmidt,22,30,62,1997,6,Male,9261 Little Creek Lane,,Vermilion,OH,44089,41.41,-82.31,20400,41595,20K - 50K,54451,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
64,Johanna Peres,28,30,67,1991,5,Female,34542 Ninth Drive,25,Buffalo,NY,14215,42.88,-78.85,14456,29478,20K - 50K,39224,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
65,Journey Ramirez,57,60,67,1963,2,Female,339 Little Creek Lane,,Chula Vista,CA,91913,32.64,-116.98,26957,54963,50K - 80K,105623,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
66,Musa Williams,54,60,64,1965,8,Male,52 Sixth Boulevard,,Alpharetta,GA,30005,34.06,-84.27,43725,89152,80K - 100K,162012,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
67,Van Clark,44,50,72,1975,9,Male,5521 Spruce Avenue,,Montgomery,AL,36106,32.35,-86.28,25009,50993,50K - 80K,75783,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
68,Amira Bailey,59,60,68,1960,11,Female,723 Fourth Drive,,Eastford,CT,6242,41.9,-72.08,25399,51788,50K - 80K,77642,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
69,Anna King,33,40,63,1986,6,Female,8740 Lafayette Drive,,Lindenhurst,NY,11757,40.68,-73.37,26528,54091,50K - 80K,165960,675,8866.549441895875,0.091899507,0.1390154489436619,0.6048849116607773
70,Aldo Walker,42,50,70,1977,10,Male,58 Birch Lane,6,Davenport,IA,52803,41.55,-90.6,20599,41997,20K - 50K,0,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
71,Koa Barnes,80,80,69,1939,3,Male,614 Spruce Avenue,,Whitehouse Station,NJ,8889,40.6,-74.76,46827,104692,100K - 150K,6955,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
72,Samara Price,64,70,66,1956,1,Female,599 First Drive,,Fontana,CA,92336,34.14,-117.45,23172,47242,20K - 50K,62224,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
73,Charles Fisher,31,40,74,1988,3,Male,557 Catherine Drive,3,Houston,TX,77096,29.76,-95.38,31072,63356,50K - 80K,140107,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
74,Kiera Wood,89,90,69,1931,1,Female,796 West Lane,,Torrance,CA,90503,33.84,-118.35,31496,68010,50K - 80K,0,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
75,Aaliyah Martin,43,50,74,1976,4,Female,113 Burns Lane,,Pensacola,FL,32504,30.44,-87.18,22247,45360,20K - 50K,14587,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
76,Enoch Green,61,70,66,1959,1,Male,201 Grant Drive,,State College,PA,16801,40.79,-77.85,25031,51039,50K - 80K,0,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
77,Danielle Stewart,52,60,65,1967,7,Female,4092 El Camino Lane,,Oklahoma City,OK,73114,35.46,-97.51,14465,29496,20K - 50K,49681,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
78,Emerald Butler,61,70,64,1958,5,Female,98 Ninth Street,,Ooltewah,TN,37363,35.06,-85.09,25814,52633,50K - 80K,137109,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
79,Mira Collins,41,50,72,1978,12,Female,691 Valley Drive,,Brunswick,OH,44212,41.24,-81.82,23559,48038,20K - 50K,83238,704,8844.035661608377,0.1024714513137558,0.1502971978361669,0.6067092717391305
80,Katalina Lewis,36,40,67,1983,12,Female,5695 Fifth Street,1,Louisville,KY,40299,38.22,-85.74,25258,51500,50K - 80K,102286,672,8576.965964376719,0.1018465358361774,0.1549159965870307,0.6043806541095891
81,Pierce Cooper,43,50,65,1977,1,Male,2974 Grant Avenue,49,Valley Stream,NY,11580,40.66,-73.7,27778,56640,50K - 80K,104134,672,8576.965964376719,0.1018465358361774,0.1549159965870307,0.6043806541095891
82,Maleah Williams,65,70,64,1954,3,Female,8437 Sixth Street,,Traverse City,MI,49684,44.75,-85.6,20035,42102,20K - 50K,9645,672,8576.965964376719,0.1018465358361774,0.1549159965870307,0.6043806541095891
83,Vivian Rogers,21,30,70,1998,4,Female,5259 Lake Drive,,Virginia Beach,VA,23453,36.78,-76.08,20678,42161,20K - 50K,59210,672,8576.965964376719,0.1018465358361774,0.1549159965870307,0.6043806541095891
84,Marcel Myers,41,50,61,1978,4,Male,4693 Elm Lane,682,Crestview,FL,32536,30.75,-86.57,19066,38874,20K - 50K,64474,672,8576.965964376719,0.1018465358361774,0.1549159965870307,0.6043806541095891
85,Clay Murphy,50,50,64,1969,4,Male,4480 Hillside Avenue,6,Round Lake,IL,60073,42.34,-88.11,22578,46039,20K - 50K,79738,672,8576.965964376719,0.1018465358361774,0.1549159965870307,0.6043806541095891
86,Tara Anwar,20,20,69,1999,8,Female,621 Fifth Boulevard,1,Baker,LA,70714,30.58,-91.15,17440,35559,20K - 50K,59164,672,8576.965964376719,0.1018465358361774,0.1549159965870307,0.6043806541095891
87,Ryland Howard,26,30,67,1993,12,Male,1941 Ninth Street,10,Portland,OR,97214,45.51,-122.64,26790,54623,50K - 80K,114711,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
88,Maci Diaz,26,30,66,1993,5,Female,9530 Washington Street,,Novato,CA,94947,38.1,-122.63,30335,61850,50K - 80K,81158,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
89,Sasha Gao,20,20,65,2000,2,Female,8643 Lafayette Boulevard,,Lawrenceville,GA,30043,33.94,-83.99,24252,49449,20K - 50K,30723,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
90,Antonio Evans,28,30,65,1991,10,Male,654 Elm Drive,,Atlanta,GA,30331,33.71,-84.53,19550,39860,20K - 50K,112825,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
91,Jaxxon Allen,44,50,64,1975,4,Male,936 Mill Street,38,Memphis,NY,13112,43.08,-76.37,22047,44953,20K - 50K,97076,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
92,Jace Moore,39,40,71,1981,2,Male,5944 Grant Avenue,,Tuscaloosa,AL,35405,33.23,-87.54,20553,41907,20K - 50K,87163,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
93,Riya Lopez,42,50,67,1977,5,Female,939 Main Lane,,Laurel,MD,20723,39.09,-76.85,35553,72478,50K - 80K,63078,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
94,Reyna Kelley,51,60,65,1969,2,Female,733 Maple Drive,4076,Columbia,MO,65201,38.95,-92.32,20966,42749,20K - 50K,53471,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
95,Tomas Ross,67,70,66,1952,3,Male,1 Burns Lane,,San Jose,CA,95121,37.3,-121.8,25115,31287,20K - 50K,25844,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
96,Nova Morris,43,50,70,1976,9,Female,534 Sixth Boulevard,,Harvey,LA,70058,29.88,-90.06,19126,38994,20K - 50K,0,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
97,Zuri Xi,46,50,66,1973,6,Female,7853 Grant Street,96,Alvin,TX,77511,29.43,-95.24,21956,44768,20K - 50K,59862,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
98,Jazlynn James,18,20,71,2002,1,Female,197 George Drive,,Douglas,GA,31535,31.5,-82.85,15701,32014,20K - 50K,61420,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
99,Perla Chen,81,90,70,1938,6,Female,7673 Plum Drive,,Tampa,FL,33617,27.95,-82.48,18881,28594,20K - 50K,1821,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
100,Lincoln Fox,37,40,68,1982,9,Male,1723 North Lane,9,Stratford,CT,6614,41.2,-73.13,27589,56248,50K - 80K,149587,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
101,Annabel King,54,60,66,1965,12,Female,294 Bayview Lane,4,Memphis,TN,38104,35.1,-90,28570,58248,50K - 80K,107130,728,9457.391424,0.1215773293918918,0.1659070793918919,0.6094809932203389
102,Kenya Cooper,81,90,66,1938,7,Female,11 Spruce Avenue,,Telford,PA,18969,40.32,-75.32,26273,42509,20K - 50K,2895,755,9211.232469172826,0.122981381,0.1763512742474916,0.6103353808724832
103,Jaxson Brown,46,50,66,1973,8,Male,1833 George Drive,,Miami,FL,33186,25.77,-80.2,23244,47395,20K - 50K,41381,755,9211.232469172826,0.122981381,0.1763512742474916,0.6103353808724832
104,Sloan Nelson,48,50,63,1971,3,Female,7554 Sixth Street,,Louisville,OH,44641,40.83,-81.26,18936,38611,20K - 50K,93255,755,9211.232469172826,0.122981381,0.1763512742474916,0.6103353808724832
105,Julissa Allen,90,90,71,1929,10,Female,350 Main Boulevard,53,Palm Coast,FL,32137,29.57,-81.21,17142,31805,20K - 50K,614,755,9211.232469172826,0.122981381,0.1763512742474916,0.6103353808724832
106,Armani Diaz,43,50,71,1976,5,Male,441 River Street,5,Lake Havasu City,AZ,86404,34.61,-114.3,14214,28983,20K - 50K,36482,755,9211.232469172826,0.122981381,0.1763512742474916,0.6103353808724832
107,Noe Gutierrez,38,40,67,1981,3,Male,909 Eighth Street,,Milpitas,CA,95035,37.44,-121.87,33758,68827,50K - 80K,35669,755,9211.232469172826,0.122981381,0.1763512742474916,0.6103353808724832
108,Greta Turner,81,90,69,1938,3,Female,44 Valley Boulevard,,Pottsboro,TX,75076,33.77,-96.67,20874,32669,20K - 50K,1433,755,9211.232469172826,0.122981381,0.1763512742474916,0.6103353808724832
109,Billy Roberts,51,60,65,1968,10,Male,9070 Third Boulevard,,Willsboro,NY,12996,44.37,-73.4,14415,29388,20K - 50K,21221,755,9211.232469172826,0.122981381,0.1763512742474916,0.6103353808724832
110,Sawyer Butler,34,40,60,1986,1,Female,887 Grant Street,,Abbeville,LA,70510,29.97,-92.12,18730,38190,20K - 50K,81262,810,7901.216499603344,0.099709436,0.1464944668820678,0.607945513
111,Colson James,23,30,71,1996,4,Male,938 Maple Boulevard,,North Las Vegas,NV,89081,36.25,-115.08,22907,46704,20K - 50K,91946,810,7901.216499603344,0.099709436,0.1464944668820678,0.607945513
112,Carter Macron,25,30,65,1994,10,Male,7091 Lexington Lane,69,Fayetteville,AR,72701,36.07,-94.15,22964,46822,20K - 50K,0,810,7901.216499603344,0.099709436,0.1464944668820678,0.607945513
113,Kaia Bennett,33,40,65,1986,8,Female,19 Valley Stream Drive,,Circleville,OH,43113,39.6,-82.93,18025,36755,20K - 50K,96292,810,7901.216499603344,0.099709436,0.1464944668820678,0.607945513
114,Ashlyn Scott,59,60,68,1960,3,Female,5238 Park Street,10,Union City,NJ,7087,40.76,-74.03,16770,34190,20K - 50K,39242,810,7901.216499603344,0.099709436,0.1464944668820678,0.607945513
115,Lance Reyes,61,70,66,1958,4,Male,747 Rose Drive,,Concord,NC,28027,35.4,-80.59,25299,51581,50K - 80K,35134,810,7901.216499603344,0.099709436,0.1464944668820678,0.607945513
116,Leif Butler,33,40,58,1987,2,Male,3904 Martin Luther King Drive,12,Monroe,NC,28110,34.98,-80.54,19605,39975,20K - 50K,52575,810,7901.216499603344,0.099709436,0.1464944668820678,0.607945513
117,Antonio Ryan,27,30,66,1992,6,Male,888 Fifth Lane,10,Fair Oaks,CA,95628,38.65,-121.25,27548,56164,50K - 80K,15224,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
118,Melina Cook,101,110,68,1918,5,Female,887 Third Boulevard,,Seligman,AZ,86337,35.13,-112.99,13086,15348,0K - 20K,1396,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
119,Ava Jones,49,50,69,1970,7,Female,704 East Drive,,Lake Charles,LA,70605,30.21,-93.2,26772,54587,50K - 80K,69070,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
120,Paula Leroux,21,30,67,1998,4,Female,100 Seventh Drive,,Florence,WI,54121,45.93,-88.25,18016,36733,20K - 50K,0,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
121,Edison Hill,68,70,67,1951,7,Male,5828 Wessex Drive,,Orlando,FL,32818,28.5,-81.37,15849,43004,20K - 50K,15304,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
122,Decker Gomez,25,30,69,1994,6,Male,9804 Third Street,,Morganton,NC,28655,35.74,-81.69,16445,33534,20K - 50K,76166,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
123,Jude James,37,40,68,1982,4,Male,7559 Forest Boulevard,,Hobart,IN,46342,41.53,-87.26,21851,44550,20K - 50K,117302,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
124,Nataly Mitchell,30,30,69,1989,4,Female,145 Spruce Street,,Commerce City,CO,80022,39.86,-104.86,20522,41839,20K - 50K,46226,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
125,Shiloh Martin,47,50,70,1972,10,Male,9070 West Street,,Rancho Cucamonga,CA,91730,34.09,-117.58,24603,50163,50K - 80K,97188,761,9125.604771107288,0.087223888,0.1363429347496206,0.6060238932926829
126,Elliot Edwards,29,30,63,1990,9,Female,8677 Littlewood Lane,,Greeley,CO,80634,40.42,-104.74,22427,45727,20K - 50K,94016,629,8531.569904935319,0.1000236724960254,0.1471286693163752,0.6080730319488817
